temp_min_day0,temp_max_day0,clouds_day0,wind_speed_day_0,pop_day_0,temp_min_day1,temp_max_day1,clouds_day1,wind_speed_day_1,pop_day_1,temp_min_day2,temp_max_day2,clouds_day2,wind_speed_day_2,pop_day_2,temp_min_day3,temp_max_day3,clouds_day3,wind_speed_day_3,pop_day_3,temp_min_day4,temp_max_day4,clouds_day4,wind_speed_day_4,pop_day_4,temp_min_day5,temp_max_day5,clouds_day5,wind_speed_day_5,pop_day_5,temp_min_day6,temp_max_day6,clouds_day6,wind_speed_day_6,pop_day_6,temp_min_day7,temp_max_day7,clouds_day7,wind_speed_day_7,pop_day_7,lat,lon,city
12.53,22.11,44,3.2,0.0,11.71,21.46,23,6.28,0.0,10.44,21.39,33,3.7,0.0,11.61,20.07,59,3.3,0.29,10.79,20.81,10,2.97,0.01,10.75,14.18,100,5.26,1.0,5.53,14.59,0,7.81,1.0,7.78,13.63,92,8.06,0.84,43.7497,6.32859,Gorges du Verdon
18.06,24.17,31,2.69,0.0,17.8,25.63,18,9.2,0.0,16.11,23.1,38,6.04,0.0,17.35,22.52,30,5.18,0.07,17.17,22.65,14,3.62,0.08,17.38,20.83,100,10.78,1.0,14.52,20.14,10,13.62,1.0,16.62,20.27,99,10.95,0.84,43.1506968,6.3419285,Bormes les Mimosas
20.16,24.93,51,8.42,0.0,19.68,23.92,38,12.1,0.0,16.49,23.21,52,11.31,0.0,19.54,23.12,70,5.82,0.18,19.32,22.19,36,3.15,0.18,16.94,21.34,100,11.26,1.0,14.85,19.4,3,12.62,1.0,17.24,20.32,100,11.3,0.95,43.2140359,5.5396318,Cassis
20.13,24.63,53,8.51,0.0,19.84,23.9,40,12.78,0.0,16.14,23.04,53,12.69,0.0,19.9,22.82,74,5.38,0.15,19.67,22.06,35,3.19,0.15,17.22,21.4,100,11.8,1.0,14.95,19.56,2,12.03,1.0,17.34,20.65,99,11.44,0.94,43.2961743,5.3699525,Marseille
17.31,24.97,57,4.91,0.0,17.34,23.36,43,9.59,0.0,13.2,23.67,56,6.22,0.0,16.25,23.62,80,4.33,0.08,16.63,23.71,39,3.75,0.0,14.56,19.24,100,7.31,1.0,11.61,18.2,2,9.61,1.0,14.19,19.08,96,7.84,0.95,43.5298424,5.4474738,Aix en Provence
16.48,23.94,65,8.68,0.0,15.7,24.12,56,9.23,0.14,12.68,21.17,87,10.55,0.0,11.41,23.4,95,4.46,0.02,14.87,25.14,53,3.42,0.06,15.01,20.38,100,6.19,1.0,10.41,18.73,1,7.05,0.85,13.23,20.65,71,7.42,0.87,43.9492493,4.8059012,Avignon
14.34,23.48,80,6.38,0.0,14.28,24.19,46,6.54,0.26,10.51,20.39,93,8.26,0.0,9.85,21.46,97,4.4,0.0,13.19,23.85,56,3.39,0.07,14.38,18.33,100,5.43,0.97,9.34,18.57,3,5.24,0.62,11.96,18.99,58,7.88,0.89,44.0121279,4.4196718,Uzes
15.89,24.31,72,5.73,0.0,15.52,25.32,57,6.01,0.28,12.02,21.56,91,7.39,0.0,11.18,21.77,98,3.69,0.05,14.24,24.03,58,3.76,0.02,15.05,19.61,100,5.95,0.96,10.96,19.87,3,5.95,0.71,13.55,20.07,61,7.18,0.8,43.8374249,4.3600687,Nimes
17.45,22.81,64,5.53,0.0,17.23,24.79,52,7.47,0.34,13.91,22.38,71,5.97,0.0,13.27,20.7,100,4.31,0.12,16.06,21.55,52,4.37,0.0,16.89,20.54,100,9.62,0.97,13.63,21.4,4,9.0,0.78,15.58,20.27,64,9.7,0.71,43.5658225,4.1912837,Aigues Mortes
17.91,22.9,63,7.95,0.0,17.3,24.38,66,7.43,0.25,14.86,21.35,68,9.65,0.0,14.07,21.15,91,6.6,0.21,17.01,20.7,44,5.45,0.02,17.33,20.95,100,13.2,0.96,14.24,20.55,3,11.32,0.71,16.47,20.44,86,10.57,0.68,43.4522771,4.4287172,Saintes Maries de la mer
18.71,23.51,97,5.46,0.16,18.69,23.7,85,8.33,0.21,16.41,23.72,100,7.33,0.0,15.5,20.38,99,2.46,0.0,16.38,23.41,58,6.07,0.0,16.5,22.77,100,10.44,1.0,14.65,20.53,57,8.77,0.91,16.09,20.96,100,9.96,0.38,42.52505,3.0831554,Collioure
14.91,25.5,92,3.78,0.49,15.37,22.3,99,7.26,0.48,12.43,21.46,100,5.55,0.28,10.59,21.46,98,4.55,0.0,12.34,25.52,64,3.37,0.0,13.67,20.19,100,9.11,1.0,11.44,20.06,41,7.65,0.74,12.79,17.81,63,9.77,0.91,43.2130358,2.3491069,Carcassonne
8.42,17.78,100,2.12,0.49,8.62,14.95,100,3.26,0.48,6.71,14.85,100,2.63,0.46,6.54,17.06,100,2.04,0.0,7.15,17.29,94,2.84,0.01,6.53,14.02,100,3.3,1.0,4.39,13.5,45,2.68,0.79,4.6,9.54,83,4.24,0.94,42.9455368,1.4065544156065486,Ariege
15.32,21.61,100,4.23,0.93,13.59,21.34,99,6.25,0.83,11.94,19.96,99,3.26,0.5,10.58,21.04,100,3.06,0.0,11.95,22.0,94,3.53,0.0,13.33,16.7,100,6.32,1.0,10.66,19.22,58,5.23,0.36,12.42,17.7,40,8.94,1.0,43.6044622,1.4442469,Toulouse
13.66,21.1,100,3.55,0.94,12.34,20.61,95,6.7,0.89,9.98,19.55,100,3.1,0.23,9.39,19.83,100,2.55,0.0,11.56,21.02,99,3.46,0.0,12.82,16.35,100,5.66,1.0,10.56,18.94,68,4.16,0.31,12.11,17.87,24,8.69,1.0,44.0175835,1.3549991,Montauban
14.23,19.14,100,3.46,0.76,14.88,18.72,100,5.29,0.67,11.32,16.97,51,2.87,0.18,11.55,18.65,100,2.87,0.0,15.29,20.53,98,2.78,0.19,15.94,18.66,100,7.36,1.0,14.38,19.26,65,6.08,1.0,14.97,17.06,73,10.03,1.0,43.471143749999996,-1.552726590666314,Biarritz
14.01,19.68,100,3.64,0.75,14.48,19.28,100,5.04,0.67,10.82,17.66,53,3.06,0.15,11.01,19.03,100,3.09,0.0,14.81,21.06,99,2.65,0.19,15.85,18.57,100,6.92,1.0,14.09,19.79,67,5.54,1.0,14.88,17.28,65,9.81,1.0,43.4933379,-1.475099,Bayonne
13.99,18.15,100,6.99,0.57,14.36,18.03,77,8.73,0.99,10.54,16.92,7,5.64,0.0,13.8,18.13,100,7.04,0.74,15.16,18.54,100,15.91,1.0,15.0,16.87,91,14.76,1.0,14.04,17.58,81,16.59,1.0,14.72,16.29,6,14.29,1.0,46.1591126,-1.1520434,La Rochelle
